N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
38,LG디스플레이,"22,750","1,000",+4.60%,"5,000","81,403","357,816",23.96,"4,845,224",-3.31,-22.35,
39,삼성화재,"170,500","2,500",+1.49%,500,"80,774","47,375",44.48,"166,126",12.47,4.85,
40,S-Oil,"69,200","1,000",+1.47%,"2,500","77,907","112,583",75.96,"396,139",-9.28,1.01,
41,빅히트,"217,500","13,000",+6.36%,500,"77,482","35,624",8.74,"603,265",N/A,56.47,
42,금호석유,"244,500","3,000",-1.21%,"5,000","74,494","30,468",28.90,"887,018",20.92,11.84,
43,현대글로비스,"198,500","8,500",+4.47%,500,"74,438","37,500",35.24,"436,842",11.16,11.25,
44,한국조선해양,"99,900","5,900",+6.28%,"5,000","70,702","70,773",16.47,"448,792",330.79,1.40,
45,CJ제일제당,"434,000","8,000",+1.88%,"5,000","65,335","15,054",24.76,"71,326",9.01,3.16,
46,우리금융지주,"8,990",190,+2.16%,"5,000","64,932","722,268",25.03,"1,680,831",4.82,N/A,
47,미래에셋대우,"9,830",330,+3.47%,"5,000","63,435","645,316",14.91,"3,052,616",10.27,7.56,
48,KT,"24,050",100,+0.42%,"5,000","62,797","261,112",43.86,"1,507,818",10.25,4.61,
